Accessions,accession_base,country_clean,host_clean,year,length,sample_type_clean,keep_for_main_country_tree,exact_duplicate_of,analysis_note
AF212302,AF212302,Unknown,Unknown,,18246,Unknown,False,exact_duplicate_of_NC_002728,
AJ564621,AJ564621,Malaysia,Unknown,,18246,Unknown,True,,
AJ564622,AJ564622,Malaysia,Unknown,,18246,Unknown,True,,
AJ564623,AJ564623,Malaysia,Unknown,,18246,Unknown,True,,
AJ627196,AJ627196,Malaysia,Pig,,18246,Unknown,True,,
AY029767,AY029767,Malaysia,Unknown,,18246,Unknown,True,,
AY029768,AY029768,Malaysia,Unknown,,18246,Unknown,True,,
AY988601,AY988601,Bangladesh,Human,2004.0,18252,Unknown,True,,
FJ513078,FJ513078,India,Human,2007.0,18252,lung,True,,
JN808857,JN808857,Bangladesh,Human,2008.0,18252,oronasopharynx,True,,
JN808863,JN808863,Bangladesh,Human,2008.0,18252,oronasopharynx,False,exact_duplicate_of_JN808857,
JN808864,JN808864,Bangladesh,Human,2010.0,18167,oronasopharynx,True,,
KY425646,KY425646,Malaysia,Human,1999.0,18212,Unknown,True,,
KY425655,KY425655,Malaysia,Human,1999.0,18214,Unknown,True,,
MH396625,MH396625,India,Human,2018.0,18210,oronasopharynx,True,,
MH523640,MH523640,India,Human,2018.0,18132,lung,True,,
MH523641,MH523641,India,Human,2018.0,18027,oronasopharynx,True,,
MH523642,MH523642,India,Human,2018.0,18242,oronasopharynx,True,,
MK336155,MK336155,India,Human,2018.0,18211,oronasopharynx,True,,
MK336156,MK336156,India,Human,2018.0,18233,oronasopharynx,True,,
MK575060,MK575060,Bangladesh,Bat,2013.0,18234,urine,True,,
MK575061,MK575061,Bangladesh,Bat,2013.0,18234,urine,True,,
MK575062,MK575062,Bangladesh,Bat,2013.0,18234,urine,True,,
MK575063,MK575063,Bangladesh,Bat,2013.0,18227,urine,True,,
MK575064,MK575064,Bangladesh,Bat,2013.0,18234,urine,True,,
MK575065,MK575065,Bangladesh,Bat,2013.0,18234,urine,True,,
MK575066,MK575066,Bangladesh,Bat,2013.0,18234,urine,True,,
MK575067,MK575067,Bangladesh,Bat,2013.0,18234,urine,True,,
MK575068,MK575068,Bangladesh,Bat,2013.0,18234,urine,True,,
MK575069,MK575069,Bangladesh,Bat,2013.0,18234,urine,True,,
MK575070,MK575070,Bangladesh,Bat,2013.0,18234,urine,True,,
MK673558,MK673558,Malaysia,Pig,1999.0,18234,Unknown,True,,
MK673559,MK673559,Malaysia,Pig,1999.0,18231,Unknown,True,,
MK673560,MK673560,Malaysia,Pig,1999.0,18231,Unknown,True,,
MK673561,MK673561,Malaysia,Pig,1999.0,18231,Unknown,False,exact_duplicate_of_MK673560,
MK673562,MK673562,Malaysia,Human,1999.0,18231,Unknown,True,,
MK673563,MK673563,Malaysia,Dog,1999.0,18231,Unknown,True,,
MK673564,MK673564,Bangladesh,Human,2004.0,18240,oronasopharynx,True,,
MK673565,MK673565,Bangladesh,Human,2004.0,18235,cerebrospinal fluid,True,,
MK673566,MK673566,Bangladesh,Human,2004.0,18240,urine,True,,
MK673567,MK673567,Bangladesh,Human,2004.0,18245,oronasopharynx,True,,
MK673568,MK673568,Bangladesh,Human,2008.0,18237,oronasopharynx,True,,
MK673570,MK673570,Bangladesh,Human,2011.0,18231,oronasopharynx,True,,
MK673571,MK673571,Bangladesh,Human,2011.0,18240,oronasopharynx,True,,
MK673572,MK673572,Bangladesh,Human,2011.0,18105,oronasopharynx,True,,
MK673573,MK673573,Bangladesh,Human,2011.0,18236,oronasopharynx,True,,
MK673574,MK673574,Bangladesh,Human,2011.0,18205,oronasopharynx,True,,
MK673575,MK673575,Bangladesh,Human,2011.0,18238,oronasopharynx,True,,
MK673576,MK673576,Bangladesh,Human,2011.0,18237,oronasopharynx,True,,
MK673577,MK673577,Bangladesh,Human,2011.0,18219,blood,True,,
MK673578,MK673578,Bangladesh,Human,2011.0,18235,blood,True,,
MK673579,MK673579,Bangladesh,Human,2012.0,18223,oronasopharynx,True,,
MK673580,MK673580,Bangladesh,Human,2012.0,18234,oronasopharynx,True,,
MK673581,MK673581,Bangladesh,Human,2012.0,18235,oronasopharynx,True,,
MK673582,MK673582,Bangladesh,Human,2012.0,18237,oronasopharynx,True,,
MK673583,MK673583,Bangladesh,Human,2013.0,18197,oronasopharynx,True,,
MK673584,MK673584,Bangladesh,Human,2015.0,18229,oronasopharynx,True,,
MK673585,MK673585,Bangladesh,Human,2015.0,18245,oronasopharynx,True,,
MK673586,MK673586,Bangladesh,Human,2015.0,18165,oronasopharynx,True,,
MK673587,MK673587,Bangladesh,Human,2015.0,18170,oronasopharynx,True,,
MK673588,MK673588,Bangladesh,Human,2015.0,18119,oronasopharynx,True,,
MK673589,MK673589,Bangladesh,Human,2014.0,18215,oronasopharynx,True,,
MK673590,MK673590,Bangladesh,Human,2014.0,18208,oronasopharynx,True,,
MK673591,MK673591,Bangladesh,Human,2014.0,18157,oronasopharynx,True,,
MK673592,MK673592,Bangladesh,Human,2014.0,18234,oronasopharynx,True,,
MK801755,MK801755,Cambodia,Bat,2003.0,18246,Unknown,True,,
MN549402,MN549402,India,Bat,2019.0,18132,"kidney, abdominal cavity",True,,
MN549403,MN549403,India,Bat,2019.0,18131,brain,True,,
MN549404,MN549404,India,Bat,2019.0,18130,heart,True,,
MN549405,MN549405,India,Bat,2019.0,18125,"feces, abdominal cavity",True,,
MN549406,MN549406,India,Bat,2019.0,18132,Unknown,True,,
MN549407,MN549407,India,Bat,2019.0,17813,heart,True,,
MN549408,MN549408,India,Bat,2019.0,18131,lung,True,,
MN549409,MN549409,India,Bat,2019.0,18172,Unknown,True,,
MN549410,MN549410,India,Bat,2019.0,17815,Unknown,True,,
