accession	label	resolved_id	description	length
NC_002728	Nipah_virus_reference_NC_002728	NC_002728.1	NC_002728.1 Nipah_virus_reference_NC_002728 NC_002728.1 Nipah virus, complete genome	18246
AF212302	Nipah_virus_Malaysia_prototype_AF212302	AF212302.2	AF212302.2 Nipah_virus_Malaysia_prototype_AF212302 AF212302.2 Nipah virus, complete genome	18246
AY988601	Nipah_virus_Bangladesh_reference_AY988601	AY988601.1	AY988601.1 Nipah_virus_Bangladesh_reference_AY988601 AY988601.1 Nipah virus from Bangladesh, complete genome	18252
MH396625	Nipah_virus_India_Kerala_reference_MH396625	MH396625.1	MH396625.1 Nipah_virus_India_Kerala_reference_MH396625 MH396625.1 Henipavirus nipahense strain MCL-18-H-1088, complete genome	18210
AJ627196	Nipah_virus_Malaysia_pig_reference_AJ627196	AJ627196.1	AJ627196.1 Nipah_virus_Malaysia_pig_reference_AJ627196 AJ627196.1 Nipah virus complete genome, isolate NV/MY/99/VRI-0626	18246
NC_001906	Hendra_virus_outgroup_NC_001906	NC_001906.3	NC_001906.3 Hendra_virus_outgroup_NC_001906 NC_001906.3 Hendra virus, complete genome	18234
