Accessions,strain,date,date_released,date_updated,region,country,location,length,host,is_lab_host,sra_accessions,authors,full_authors,institution,submitter_country,sample_type,url,accession_base,country_clean,host_clean,year,sample_type_clean,analysis_note,exact_duplicate_of,keep_for_main_country_tree
AF212302,,XXXX-XX-XX,2000-06-01,2001-12-10,,unknown,,18246,,False,,Chua et al.,"Chua,K.B.,Bellini,W.J.,Rota,P.A.,Harcourt,B.H.,Tamin,A.,Lam,S.K.,Ksiazek,T.G.,Rollin,P.E.,Zaki,S.R.,Shieh,W.,Goldsmith,C.S.,Gubler,D.J.,Roehrig,J.T.,Eaton,B.,Gould,A.R.,Olson,J.,Field,H.,Daniels,P.,Ling,A.E.,Peters,C.J.,Anderson,L.J.,Mahy,B.W.,Halpin,K.","Centers for Disease Control and Prevention, Measles Virus Section",USA,,https://www.ncbi.nlm.nih.gov/nuccore/AF212302,AF212302,Unknown,Unknown,,Unknown,,exact_duplicate_of_NC_002728,False
AJ564621,NV/MY/99/VRI-2794,XXXX-XX-XX,2004-01-05,2023-07-14,,unknown,,18246,,False,,AbuBakar et al.,"AbuBakar,S.,Chang,L.Y.,Ali,A.R.,Sharifah,S.H.,Yusoff,K.,Zamrod,Z.,Abubakar,S.","Abubakar S., Medical Microbiology, University Malaya, Faculty Of Medicine, 50603 Kuala Lumpur",Malaysia,,https://www.ncbi.nlm.nih.gov/nuccore/AJ564621,AJ564621,Malaysia,Unknown,,Unknown,,,True
AJ564622,NV/MY/99/VRI-1413,XXXX-XX-XX,2004-01-05,2023-07-14,,unknown,,18246,,False,,AbuBakar et al.,"AbuBakar,S.,Chang,L.Y.,Ali,A.R.,Sharifah,S.H.,Yusoff,K.,Zamrod,Z.,Abubakar,S.","Abubakar S., Medical Microbiology, University Malaya, Faculty Of Medicine, 50603 Kuala Lumpur",Malaysia,,https://www.ncbi.nlm.nih.gov/nuccore/AJ564622,AJ564622,Malaysia,Unknown,,Unknown,,,True
AJ564623,NV/MY/99/UM-0128,XXXX-XX-XX,2004-01-05,2023-07-14,,unknown,,18246,,False,,AbuBakar et al.,"AbuBakar,S.,Chang,L.Y.,Ali,A.R.,Sharifah,S.H.,Yusoff,K.,Zamrod,Z.,Abubakar,S.","Abubakar S., Medical Microbiology, University Malaya, Faculty Of Medicine, 50603 Kuala Lumpur",Malaysia,,https://www.ncbi.nlm.nih.gov/nuccore/AJ564623,AJ564623,Malaysia,Unknown,,Unknown,,,True
AJ627196,NV/MY/99/VRI-0626,XXXX-XX-XX,2005-01-07,2005-04-15,Asia,Malaysia,,18246,Sus scrofa,False,,AbuBakar et al.,"AbuBakar,S.,Li-Yen,C.,Mohd Ali,A.R.,Sharifah,S.H.,Abubakar,S.","Abubakar S., Medical Microbiology, University Malaya, Faculty of Medicine, 50603 Kuala Lumpur",Malaysia,,https://www.ncbi.nlm.nih.gov/nuccore/AJ627196,AJ627196,Malaysia,Pig,,Unknown,,,True
AY029767,UMMC1,XXXX-XX-XX,2001-09-07,1900-01-01,Asia,Malaysia,,18246,,False,,Chan et al.,"Chan,Y.P.,Chua,K.B.,Koh,C.L.,Lim,M.E.,Lam,S.K.","University of Malaya, Department of Medical Microbiology",Malaysia,,https://www.ncbi.nlm.nih.gov/nuccore/AY029767,AY029767,Malaysia,Unknown,,Unknown,,,True
AY029768,UMMC2,XXXX-XX-XX,2001-09-07,1900-01-01,Asia,Malaysia,,18246,,False,,Chan et al.,"Chan,Y.P.,Chua,K.B.,Koh,C.L.,Lim,M.E.,Lam,S.K.","University of Malaya, Department of Medical Microbiology",Malaysia,,https://www.ncbi.nlm.nih.gov/nuccore/AY029768,AY029768,Malaysia,Unknown,,Unknown,,,True
AY988601,,2004-XX-XX,2005-06-01,2005-09-26,Asia,Bangladesh,,18252,Homo sapiens,False,,Harcourt et al.,"Harcourt,B.H.,Lowe,L.,Tamin,A.,Liu,X.,Bankamp,B.,Bowden,N.,Rollin,P.E.,Comer,J.A.,Ksiazek,T.G.,Hossain,M.J.,Gurley,E.S.,Breiman,R.F.,Bellini,W.J.,Rota,P.A.,Hossain,J.","Centers for Disease Control and Prevention, Division of Viral and Rickettsial Diseases",USA,,https://www.ncbi.nlm.nih.gov/nuccore/AY988601,AY988601,Bangladesh,Human,2004,Unknown,,,True
FJ513078,Ind-Nipah-07-FG,2007-XX-XX,2009-12-31,2011-05-02,Asia,India,,18252,Homo sapiens,False,,Arankalle et al.,"Arankalle,V.A.,Bandyopadhyay,B.T.,Ramdasi,A.Y.,Jadi,R.,Patil,D.R.,Rahman,M.,Majumdar,M.,Banerjee,P.S.,Hati,A.K.,Goswami,R.P.,Neogi,D.K.,Mishra,A.C.","National Institute of Virology, Hepatitis",India,lung,https://www.ncbi.nlm.nih.gov/nuccore/FJ513078,FJ513078,India,Human,2007,lung,,,True
JN808857,NIVBGD2008MANIKGONJ,2008-XX-XX,2012-02-04,2012-02-04,Asia,Bangladesh,,18252,Homo sapiens,False,,Lo et al.,"Lo,M.K.,Lowe,L.,Hummel,K.B.,Sazzad,H.M.,Gurley,E.S.,Hossain,M.J.,Luby,S.P.,Miller,D.M.,Comer,J.A.,Rollin,P.E.,Bellini,W.J.,Rota,P.A.,Sazzad,H.M.S.","Centers for Disease Control and Prevention, Viral Special Pathogens Branch",USA,oronasopharynx,https://www.ncbi.nlm.nih.gov/nuccore/JN808857,JN808857,Bangladesh,Human,2008,oronasopharynx,,,True
